t,x,y,z,roll,pitch,yaw,v
0.000000,-18.582466,-4.409931,1.008528,1.980208,-0.313038,2.357077,0.000000
0.016667,-18.560415,-4.384645,1.005957,1.981083,-0.300770,2.348159,2.013026
0.033333,-18.538057,-4.360037,1.004410,1.984843,-0.292303,2.338974,1.994888
0.050000,-18.516159,-4.337469,1.004777,2.003085,-0.284722,2.329573,1.886747
0.066667,-18.494392,-4.314614,1.002070,2.020717,-0.277639,2.320100,1.893691
0.083333,-18.484295,-4.297648,1.021921,2.078697,-0.246339,2.282337,1.184626
0.100000,-18.488636,-4.274829,1.047758,2.140080,-0.235351,2.215673,1.393698
0.116667,-18.491934,-4.249630,1.072673,2.201473,-0.219086,2.149047,1.524829
0.133333,-18.493950,-4.222000,1.097073,2.261643,-0.195417,2.082767,1.662227
0.150000,-18.494713,-4.191439,1.121196,2.320750,-0.165241,2.017296,1.834201
0.166667,-18.494022,-4.157847,1.144231,2.377759,-0.131367,1.953695,2.015931
0.183333,-18.494356,-4.123218,1.164563,2.417291,-0.102513,1.893221,2.077886
0.200000,-18.481480,-4.107191,1.180666,2.453379,-0.120939,1.872755,1.233534
0.216667,-18.468746,-4.091511,1.194895,2.488597,-0.139557,1.852253,1.211938
0.233333,-18.457132,-4.076891,1.214926,2.535891,-0.157752,1.831227,1.120283
0.250000,-18.444565,-4.062570,1.232156,2.583829,-0.175441,1.809783,1.143221
0.266667,-18.431015,-4.048711,1.248530,2.632591,-0.189060,1.788680,1.162922
0.283333,-18.416979,-4.035582,1.268592,2.682024,-0.193266,1.769563,1.153153
0.300000,-18.403156,-4.022496,1.286902,2.727999,-0.193976,1.749138,1.142054
0.316667,-18.389603,-4.009448,1.303817,2.770890,-0.190569,1.727884,1.128822
0.333333,-18.376455,-3.996515,1.319742,2.810495,-0.183825,1.706221,1.106534
0.350000,-18.364368,-3.983526,1.336237,2.846183,-0.172982,1.684224,1.064548
0.366667,-18.352598,-3.970241,1.351447,2.879357,-0.160913,1.662504,1.064974
0.383333,-18.341009,-3.956826,1.365345,2.910071,-0.148017,1.641210,1.063661
0.400000,-18.329582,-3.943242,1.378113,2.938510,-0.134281,1.620269,1.065069
0.416667,-18.318130,-3.930424,1.389736,2.964211,-0.120798,1.600093,1.031280
0.433333,-18.306635,-3.917827,1.400064,2.987820,-0.107190,1.580295,1.023244
0.450000,-18.292435,-3.905698,1.412628,3.020887,-0.093306,1.560605,1.120489
0.466667,-18.277365,-3.893772,1.424577,3.054542,-0.079221,1.541094,1.153107
