t,x,y,z,roll,pitch,yaw,v
0.000000,-19.185369,-5.514036,0.401862,-0.059710,0.017528,-0.155036,0.000000
0.016667,-19.183325,-5.514938,0.402222,-0.062205,0.017268,-0.154639,0.134104
0.033333,-19.181152,-5.514603,0.402018,-0.060844,0.018236,-0.156697,0.131895
0.050000,-19.177740,-5.515129,0.402180,-0.062521,0.018885,-0.157762,0.207157
0.066667,-19.174124,-5.515091,0.402034,-0.062515,0.020283,-0.160774,0.216992
0.083333,-19.169537,-5.515152,0.401915,-0.063287,0.021594,-0.164055,0.275254
0.100000,-19.164785,-5.514441,0.401339,-0.061332,0.022751,-0.169696,0.288242
0.116667,-19.157913,-5.514788,0.400775,-0.059745,0.022960,-0.170805,0.412856
0.133333,-19.150440,-5.515954,0.401051,-0.060360,0.023491,-0.171393,0.453808
0.150000,-19.141956,-5.514929,0.399028,-0.051523,0.024296,-0.171396,0.512740
0.166667,-19.132975,-5.514957,0.397577,-0.045877,0.024567,-0.171254,0.538905
0.183333,-19.124857,-5.516738,0.399182,-0.048673,0.026707,-0.172018,0.498639
0.200000,-19.116648,-5.517339,0.399064,-0.047314,0.028612,-0.173895,0.493873
0.216667,-19.108252,-5.517721,0.398414,-0.045830,0.029230,-0.176476,0.504290
0.233333,-19.099499,-5.519055,0.398679,-0.047395,0.029216,-0.177941,0.531235
0.250000,-19.090101,-5.519855,0.397558,-0.046756,0.027837,-0.179825,0.565888
0.266667,-19.081026,-5.522756,0.398807,-0.054574,0.026267,-0.182152,0.571655
0.283333,-19.072250,-5.523321,0.398862,-0.055870,0.025494,-0.184477,0.527633
0.300000,-19.063883,-5.523321,0.399071,-0.056375,0.025860,-0.187278,0.502052
0.316667,-19.055799,-5.522866,0.398874,-0.055933,0.026219,-0.191438,0.485770
0.333333,-19.047192,-5.522918,0.398098,-0.056446,0.025251,-0.195715,0.516481
0.350000,-19.038929,-5.524054,0.398798,-0.061200,0.025171,-0.200235,0.500424
0.366667,-19.030153,-5.524641,0.398471,-0.061627,0.025551,-0.203282,0.527717
0.383333,-19.021011,-5.525768,0.398132,-0.062999,0.026768,-0.204515,0.552669
0.400000,-19.012623,-5.527094,0.398893,-0.065678,0.026206,-0.208991,0.509566
0.416667,-19.003559,-5.528510,0.398380,-0.066263,0.025524,-0.210722,0.550413
0.433333,-18.994646,-5.529591,0.398158,-0.065732,0.025502,-0.212990,0.538705
0.450000,-18.985460,-5.531143,0.397753,-0.066073,0.025207,-0.214491,0.558960
0.466667,-18.975765,-5.532816,0.397684,-0.066273,0.024614,-0.214198,0.590298
0.483333,-18.966753,-5.535037,0.398735,-0.070461,0.024379,-0.215212,0.556913
0.500000,-18.957634,-5.536162,0.398376,-0.071423,0.024043,-0.217131,0.551289
0.516667,-18.948181,-5.537632,0.397705,-0.073141,0.022468,-0.219367,0.573987
0.533333,-18.939274,-5.540412,0.399207,-0.080398,0.021628,-0.222251,0.559863
0.550000,-18.929539,-5.542227,0.398547,-0.082169,0.019763,-0.224111,0.594170
0.566667,-18.921032,-5.543777,0.398724,-0.084572,0.021547,-0.226491,0.518817
0.583333,-18.912922,-5.546080,0.399844,-0.090667,0.023144,-0.230266,0.505828
0.600000,-18.904846,-5.548109,0.401226,-0.096099,0.025624,-0.233974,0.499608
0.616667,-18.897312,-5.550521,0.403124,-0.103755,0.028155,-0.239480,0.474640
0.633333,-18.889357,-5.552041,0.404763,-0.107720,0.031344,-0.243126,0.485964
0.650000,-18.881290,-5.554255,0.406133,-0.114242,0.032457,-0.247555,0.501885
0.666667,-18.874050,-5.554968,0.406689,-0.116508,0.033201,-0.254780,0.436516
0.683333,-18.867128,-5.552663,0.403918,-0.108301,0.036402,-0.262325,0.437720
0.700000,-18.860254,-5.551356,0.403203,-0.103245,0.040865,-0.267970,0.419834
