t,x,y,z,roll,pitch,yaw,v
1.050000,-18.660170,-5.567829,0.199877,-0.049162,0.017619,-0.239059,0.548074
1.066667,-18.651091,-5.569126,0.199947,-0.050200,0.017825,-0.239590,0.550269
1.083333,-18.642469,-5.568991,0.199311,-0.047552,0.017834,-0.241766,0.517337
1.100000,-18.633909,-5.570340,0.199648,-0.050583,0.017285,-0.243276,0.519954
1.116667,-18.625732,-5.570342,0.199304,-0.049969,0.017807,-0.246350,0.490608
1.133333,-18.617085,-5.571157,0.199081,-0.050152,0.017584,-0.248032,0.521174
1.150000,-18.608612,-5.571645,0.198993,-0.050099,0.016417,-0.251767,0.509190
1.166667,-18.600342,-5.572731,0.199172,-0.049616,0.016491,-0.253990,0.500474
1.183333,-18.591602,-5.574956,0.199510,-0.052016,0.014502,-0.255503,0.541094
1.200000,-18.582832,-5.577107,0.199631,-0.052399,0.013930,-0.255730,0.541802
1.216667,-18.573778,-5.578842,0.199094,-0.051300,0.012181,-0.256087,0.553132
1.233333,-18.565378,-5.580886,0.199238,-0.052199,0.011354,-0.257247,0.518707
1.250000,-18.556732,-5.583065,0.199571,-0.052718,0.010850,-0.256909,0.534970
1.266667,-18.548077,-5.585135,0.199416,-0.052323,0.010196,-0.257176,0.533977
1.283333,-18.539295,-5.588590,0.200307,-0.056623,0.008258,-0.257394,0.566214
1.300000,-18.530405,-5.590072,0.199606,-0.053517,0.007406,-0.257125,0.540765
1.316667,-18.522352,-5.591882,0.199528,-0.052725,0.006867,-0.258239,0.495231
1.333333,-18.513319,-5.593618,0.198763,-0.050880,0.005373,-0.258082,0.551912
1.350000,-18.504787,-5.595036,0.198271,-0.048255,0.005750,-0.258731,0.518908
1.366667,-18.496414,-5.597741,0.198421,-0.050382,0.005172,-0.259896,0.527971
1.383333,-18.487766,-5.600459,0.198974,-0.052973,0.005321,-0.259273,0.543899
1.400000,-18.479156,-5.603301,0.199416,-0.055338,0.004735,-0.258742,0.544001
1.416667,-18.470306,-5.605519,0.199172,-0.055307,0.004736,-0.258054,0.547432
1.433333,-18.461477,-5.607862,0.199303,-0.055997,0.004521,-0.258573,0.548085
1.450000,-18.452112,-5.610433,0.198929,-0.055158,0.003700,-0.257796,0.582681
1.466667,-18.442677,-5.613792,0.198933,-0.057004,0.001662,-0.257445,0.600949
1.483333,-18.433582,-5.617589,0.199779,-0.060369,0.000982,-0.255772,0.591305
1.500000,-18.424236,-5.620575,0.199226,-0.059474,0.000121,-0.254569,0.588693
1.516667,-18.413870,-5.623508,0.197962,-0.056903,-0.002255,-0.251463,0.646395
1.533333,-18.404213,-5.626467,0.197426,-0.055361,-0.003127,-0.249266,0.606009
1.550000,-18.394615,-5.630467,0.197861,-0.057593,-0.004770,-0.246892,0.623870
1.566667,-18.384918,-5.633472,0.197251,-0.056437,-0.006509,-0.245056,0.609114
1.583333,-18.375879,-5.636358,0.197285,-0.055872,-0.006483,-0.243521,0.569314
1.600000,-18.366795,-5.639042,0.197166,-0.054481,-0.005925,-0.242122,0.568367
1.616667,-18.357731,-5.642481,0.197676,-0.054625,-0.005249,-0.239376,0.581652
1.633333,-18.348516,-5.645967,0.198140,-0.055215,-0.004940,-0.236899,0.591110
1.650000,-18.338247,-5.649794,0.197577,-0.055854,-0.007056,-0.233568,0.657547
1.666667,-18.328754,-5.652865,0.197321,-0.055730,-0.007909,-0.231743,0.598632
1.683333,-18.319521,-5.655518,0.196915,-0.054510,-0.007517,-0.230160,0.576417
1.700000,-18.310696,-5.658065,0.197138,-0.055017,-0.007530,-0.229351,0.551142
1.716667,-18.301413,-5.660602,0.197128,-0.055451,-0.008593,-0.228724,0.577406
1.733333,-18.291954,-5.663218,0.197272,-0.055731,-0.009777,-0.227626,0.588825
1.750000,-18.282560,-5.665430,0.197165,-0.055910,-0.011033,-0.226714,0.579031
1.766667,-18.273712,-5.667276,0.196538,-0.054164,-0.011827,-0.226668,0.542326
1.783333,-18.265017,-5.669431,0.196447,-0.053028,-0.010923,-0.226164,0.537517
1.800000,-18.255487,-5.672104,0.195704,-0.052061,-0.011959,-0.225146,0.593810
1.816667,-18.246422,-5.675390,0.196455,-0.054036,-0.011174,-0.223734,0.578575
1.833333,-18.236423,-5.677575,0.195357,-0.051569,-0.012370,-0.222322,0.614050
1.850000,-18.227345,-5.680104,0.195319,-0.050499,-0.011858,-0.220990,0.565480
1.866667,-18.217970,-5.682638,0.195340,-0.050159,-0.012319,-0.219963,0.582662
1.883333,-18.208235,-5.685684,0.194585,-0.049843,-0.014558,-0.218079,0.612031
1.900000,-18.199081,-5.688964,0.194827,-0.050798,-0.015402,-0.216132,0.583411
1.916667,-18.190325,-5.692636,0.195901,-0.053867,-0.015908,-0.214318,0.569704
1.933333,-18.182379,-5.697484,0.198637,-0.063321,-0.016106,-0.213780,0.558521
1.950000,-18.174278,-5.702033,0.200947,-0.071868,-0.015834,-0.213253,0.557411
1.966667,-18.166016,-5.706630,0.203490,-0.081685,-0.015613,-0.212444,0.567326
1.983333,-18.156620,-5.709616,0.203423,-0.084297,-0.016757,-0.210905,0.591511
2.000000,-18.147675,-5.712038,0.204020,-0.086477,-0.016664,-0.210523,0.556058
2.016667,-18.138941,-5.713382,0.204062,-0.086243,-0.016393,-0.210595,0.530195
2.033333,-18.130089,-5.714459,0.203626,-0.084782,-0.016237,-0.211247,0.535038
2.050000,-18.121925,-5.715556,0.203666,-0.084421,-0.014761,-0.212689,0.494204
2.066667,-18.113674,-5.716696,0.204154,-0.084766,-0.013016,-0.214103,0.499775
2.083333,-18.105165,-5.718012,0.204546,-0.085235,-0.011782,-0.215654,0.516596
2.100000,-18.097122,-5.719204,0.205521,-0.086573,-0.009698,-0.217283,0.487865
2.116667,-18.088900,-5.719790,0.205410,-0.086117,-0.009100,-0.219941,0.494606
2.133333,-18.080111,-5.720323,0.204205,-0.083648,-0.009014,-0.221616,0.528311
2.150000,-18.071871,-5.721219,0.204013,-0.083021,-0.008100,-0.223929,0.497302
2.166667,-18.063560,-5.722013,0.203746,-0.081774,-0.007236,-0.226294,0.500889
2.183333,-18.055336,-5.723591,0.204310,-0.083005,-0.006332,-0.228054,0.502474
2.200000,-18.047176,-5.725967,0.205661,-0.087566,-0.006474,-0.229396,0.509905
2.216667,-18.038736,-5.727238,0.205408,-0.086398,-0.006860,-0.230183,0.512109
2.233333,-18.030319,-5.728889,0.205242,-0.085718,-0.006213,-0.230212,0.514655
2.250000,-18.021677,-5.732275,0.206734,-0.092107,-0.007111,-0.230333,0.556911
2.266667,-18.013006,-5.734056,0.206706,-0.092859,-0.006921,-0.230929,0.531115
2.283333,-18.005087,-5.736287,0.207531,-0.096760,-0.006162,-0.232817,0.493640
2.300000,-17.996990,-5.738230,0.208225,-0.099416,-0.005028,-0.234562,0.499596
2.316667,-17.988884,-5.739901,0.208649,-0.099648,-0.004267,-0.235992,0.496604
2.333333,-17.980402,-5.742116,0.209173,-0.100355,-0.004270,-0.236784,0.525984
2.350000,-17.971846,-5.744144,0.209293,-0.099457,-0.004532,-0.237230,0.527605
2.366667,-17.963198,-5.746533,0.209714,-0.099276,-0.003825,-0.236460,0.538309
2.383333,-17.954515,-5.749762,0.210865,-0.102188,-0.003377,-0.235727,0.555788
2.400000,-17.946096,-5.752502,0.211690,-0.104058,-0.002978,-0.235244,0.531237
2.416667,-17.937775,-5.754692,0.211976,-0.103399,-0.001548,-0.235102,0.516293
2.433333,-17.929873,-5.757318,0.213077,-0.105259,-0.000117,-0.235196,0.499622
2.450000,-17.921566,-5.759529,0.213935,-0.105644,0.000845,-0.234863,0.515745
2.466667,-17.914066,-5.761145,0.215657,-0.108221,0.002907,-0.236515,0.460315
2.483333,-17.906282,-5.761747,0.216010,-0.109597,0.002464,-0.240147,0.468429
2.500000,-17.898664,-5.761812,0.215939,-0.109167,0.002481,-0.243991,0.457093
2.516667,-17.891001,-5.761118,0.214750,-0.105886,0.001900,-0.249143,0.461704
2.533333,-17.883564,-5.761026,0.214057,-0.103636,0.001806,-0.254311,0.446239
2.550000,-17.875708,-5.760810,0.212870,-0.099406,0.000678,-0.258263,0.471560
2.566667,-17.868399,-5.762114,0.213288,-0.100729,-0.000238,-0.261815,0.445454
2.583333,-17.860502,-5.761811,0.211994,-0.095591,-0.000746,-0.264912,0.474132
2.600000,-17.852743,-5.762339,0.211759,-0.093735,-0.000273,-0.267526,0.466622
2.616667,-17.845139,-5.762618,0.211296,-0.091671,-0.000366,-0.270869,0.456583
2.633333,-17.837046,-5.763054,0.210872,-0.088459,-0.000385,-0.272566,0.486278
2.650000,-17.828648,-5.764713,0.210982,-0.088032,-0.001042,-0.273527,0.513615
2.666667,-17.820646,-5.767609,0.212132,-0.092606,-0.001902,-0.275068,0.510554
2.683333,-17.813034,-5.769771,0.212850,-0.094586,-0.001861,-0.277018,0.474797
2.700000,-17.804783,-5.772491,0.213281,-0.098424,-0.003312,-0.278320,0.521275
2.716667,-17.796272,-5.773844,0.212635,-0.096405,-0.003893,-0.279923,0.517051
2.733333,-17.787163,-5.776316,0.212714,-0.097630,-0.006230,-0.279472,0.566336
2.750000,-17.778046,-5.778210,0.212201,-0.096244,-0.007633,-0.279056,0.558713
2.766667,-17.768980,-5.780607,0.212348,-0.096649,-0.009067,-0.278763,0.562631
2.783333,-17.760334,-5.782641,0.212463,-0.097008,-0.010150,-0.279031,0.532925
2.800000,-17.751465,-5.783993,0.211645,-0.094694,-0.010782,-0.279399,0.538292
2.816667,-17.741926,-5.784647,0.209972,-0.089244,-0.012416,-0.279869,0.573666
2.833333,-17.733070,-5.786254,0.209341,-0.087888,-0.013187,-0.280737,0.540021
2.850000,-17.724226,-5.787375,0.208704,-0.083989,-0.012645,-0.281097,0.534912
2.866667,-17.715208,-5.790501,0.209322,-0.087514,-0.014441,-0.281255,0.572647
2.883333,-17.706680,-5.792508,0.209608,-0.086889,-0.014790,-0.281665,0.525651
2.900000,-17.697868,-5.794224,0.208925,-0.084311,-0.015678,-0.282343,0.538645
2.916667,-17.688721,-5.796505,0.208539,-0.082675,-0.017178,-0.282011,0.565667
2.933333,-17.679714,-5.799404,0.208234,-0.082703,-0.019028,-0.281454,0.567697
2.950000,-17.670866,-5.802812,0.208880,-0.085204,-0.020908,-0.281132,0.568898
2.966667,-17.661795,-5.805227,0.208567,-0.085169,-0.023263,-0.280852,0.563241
2.983333,-17.653500,-5.807111,0.208457,-0.084431,-0.024139,-0.281563,0.510379
3.000000,-17.644508,-5.807879,0.206311,-0.078639,-0.026352,-0.282830,0.541442
