env,coverage,sigma,policy,alpha,run,found,nominal_length,min_clearance,planner_cost,nodes,plan_time,realized_mean,realized_p95,realized_max,over_budget,hazard_rate
easy,0.08,0.01,rrtstar,,0,1,80.46602946837616,0.6082653543687431,80.46602946837614,1315,0.18988847901346162,80.8843155769067,82.60168441114017,88.11961753366234,0.0,0.38
easy,0.08,0.01,rrtstar,,1,1,79.6371249824405,0.6511637806797594,79.6371249824405,1312,0.15905481699155644,80.11951736067155,82.25702937695168,85.40915883266058,0.0,0.4725
easy,0.08,0.01,rrtstar,,2,1,79.52337363339116,0.046110385952773614,79.52337363339113,1285,0.14465174201177433,80.24451819005162,82.60844260719335,87.1344981379284,0.0,0.5775
easy,0.08,0.01,rrtstar,,3,1,79.85990333195221,0.34593360621493785,79.85990333195222,1313,0.16153408295940608,80.31123190108339,82.3754851861429,87.74704818300616,0.0,0.4325
easy,0.08,0.01,rrtstar,,4,1,79.78423601094907,1.2328088337483698,79.78423601094909,1298,0.18734577303985134,80.0694171223775,81.52998091588563,85.37813270156933,0.0,0.235
easy,0.08,0.01,rrtstar,,5,1,80.84930293032154,0.04084586820136238,80.84930293032153,1346,0.17544034903403372,81.51907623806385,83.97977783332756,87.18027098909,0.0,0.5225
easy,0.08,0.01,rrtstar,,6,1,79.9780141617123,0.8129749871975107,79.9780141617123,1296,0.2413562040310353,80.52314325371383,82.2972042327068,88.88245380955081,0.0,0.495
easy,0.08,0.01,rrtstar,,7,1,79.94578696218534,0.11376718660287533,79.94578696218537,1328,0.23379752598702908,80.9151325648857,83.70211201175339,89.15962991181142,0.0,0.675
easy,0.08,0.01,rrtstar,,8,1,80.30774815859124,0.02981228939398539,80.30774815859121,1307,0.1731085820356384,81.23687750954373,84.2733516252124,89.82511785205043,0.0,0.685
easy,0.08,0.01,rrtstar,,9,1,79.81970302485954,2.671981329333182,79.81970302485955,1357,0.16351807402679697,80.06292294854433,81.68002864275194,86.73206154190895,0.0,0.18
easy,0.08,0.01,rrtstar,,10,1,79.66541752079557,3.0568588955980234,79.66541752079554,1326,0.15965481096645817,79.78160601967876,80.44829690446524,82.37972522838201,0.0,0.17
