design,environment,experiment_id,trial_id,state,wall_seconds,clutter,visibility,seed,n_draws,n_rocks,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc,path_length,detection_rate,stall_rate,replans,cost,power,ram
design-4,c0.2-v1.0-s1,92,92,TrialState.SUCCESSFUL|SHUT_DOWN,1.000652,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,5.714563,0.993794,37.234019,0.281746,0.0,4,3000.0,10.000064,2332.8
design-4,c0.2-v1.0-s2,93,93,TrialState.SUCCESSFUL|SHUT_DOWN,1.001326,0.2,1.0,2,12,21,1.0,0.0,40.405592,1.120434,5.356006,0.993266,40.405592,0.511905,0.0,8,3000.0,10.000064,2332.8
design-4,c0.2-v1.0-s3,94,94,TrialState.SUCCESSFUL|SHUT_DOWN,1.001414,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,5.744961,0.993794,37.234019,0.22619,0.0,5,3000.0,10.000064,2332.8
design-4,c0.5-v0.4-s1,101,101,TrialState.SUCCESSFUL|SHUT_DOWN,1.001256,0.5,0.4,1,12,34,0.0,1.0,120.0,3.327561,2.139376,0.98,120.0,0.019608,0.0,0,3000.0,10.000064,2332.8
design-4,c0.5-v0.4-s2,102,102,TrialState.SUCCESSFUL|SHUT_DOWN,1.000561,0.5,0.4,2,12,34,0.0,1.0,120.0,3.327561,2.005615,0.98,120.0,0.029412,0.0,0,3000.0,10.000064,2332.8
design-4,c0.5-v0.4-s3,103,103,TrialState.SUCCESSFUL|SHUT_DOWN,1.001276,0.5,0.4,3,12,34,0.0,1.0,120.0,3.327561,0.0,0.98,120.0,0.0,0.0,0,3000.0,10.000064,2332.8
design-4,c0.5-v1.0-s1,98,98,TrialState.SUCCESSFUL|SHUT_DOWN,1.000769,0.5,1.0,1,12,34,1.0,0.0,38.698485,1.073097,5.671451,0.99355,38.698485,0.377451,0.0,7,3000.0,10.000064,2332.8
design-4,c0.5-v1.0-s2,99,99,TrialState.SUCCESSFUL|SHUT_DOWN,1.001123,0.5,1.0,2,12,34,1.0,0.0,38.991378,1.081218,5.094269,0.993501,38.991378,0.526961,0.0,7,3000.0,10.000064,2332.8
design-4,c0.5-v1.0-s3,100,100,TrialState.SUCCESSFUL|SHUT_DOWN,1.001278,0.5,1.0,3,12,34,1.0,0.0,38.234019,1.060217,5.434422,0.993628,38.234019,0.321078,0.0,7,3000.0,10.000064,2332.8
design-4,c0.8-v0.4-s1,107,107,TrialState.SUCCESSFUL|SHUT_DOWN,1.001581,0.8,0.4,1,12,46,0.0,1.0,120.0,3.327561,2.139376,0.98,120.0,0.014493,0.0,0,3000.0,10.000064,2332.8
design-4,c0.8-v0.4-s2,108,108,TrialState.SUCCESSFUL|SHUT_DOWN,1.001179,0.8,0.4,2,12,44,0.0,1.0,120.0,3.327561,2.061533,0.98,120.0,0.020833,0.0,0,3000.0,10.000064,2332.8
design-4,c0.8-v0.4-s3,109,109,TrialState.SUCCESSFUL|SHUT_DOWN,1.001234,0.8,0.4,3,12,46,0.0,1.0,120.0,3.327561,1.736462,0.98,120.0,0.019928,0.0,0,3000.0,10.000064,2332.8
design-4,c0.8-v1.0-s1,104,104,TrialState.SUCCESSFUL|SHUT_DOWN,1.00093,0.8,1.0,1,12,46,1.0,0.0,43.577164,1.208381,5.328032,0.992737,43.577164,0.496377,0.0,9,3000.0,10.000064,2332.8
design-4,c0.8-v1.0-s2,105,105,TrialState.SUCCESSFUL|SHUT_DOWN,1.001399,0.8,1.0,2,12,44,0.916667,0.083333,53.140575,1.473571,5.421464,0.991143,53.140575,0.545455,0.0,9,3000.0,10.000064,2332.8
design-4,c0.8-v1.0-s3,106,106,TrialState.SUCCESSFUL|SHUT_DOWN,1.001305,0.8,1.0,3,12,46,0.0,1.0,120.0,3.327561,5.324291,0.98,120.0,0.407609,0.0,9,3000.0,10.000064,2332.8
design-4234,c0.2-v0.4-s1,5,5,TrialState.SUCCESSFUL|SHUT_DOWN,1.001666,0.2,0.4,1,12,21,1.0,0.0,37.234019,1.032487,13.920096,0.924911,37.234019,0.948413,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.2-v0.4-s2,6,6,TrialState.SUCCESSFUL|SHUT_DOWN,1.001629,0.2,0.4,2,12,21,1.0,0.0,39.991378,1.108948,13.892746,0.919351,39.991378,0.984127,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.2-v0.4-s3,7,7,TrialState.SUCCESSFUL|SHUT_DOWN,1.001363,0.2,0.4,3,12,21,1.0,0.0,37.234019,1.032487,13.911337,0.924911,37.234019,0.956349,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.2-v1.0-s1,2,2,TrialState.SUCCESSFUL|SHUT_DOWN,1.001375,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,17.247084,0.924911,37.234019,0.956349,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.2-v1.0-s2,3,3,TrialState.SUCCESSFUL|SHUT_DOWN,1.001333,0.2,1.0,2,12,21,1.0,0.0,39.461048,1.094242,16.968764,0.92042,39.461048,0.980159,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.2-v1.0-s3,4,4,TrialState.SUCCESSFUL|SHUT_DOWN,1.000766,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,16.958267,0.924911,37.234019,0.968254,0.0,7,15500.0,121.000106,7698.15
design-4234,c0.5-v0.4-s1,11,11,TrialState.SUCCESSFUL|SHUT_DOWN,1.001424,0.5,0.4,1,12,34,1.0,0.0,37.478096,1.039256,13.906843,0.924419,37.478096,0.968137,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.5-v0.4-s2,12,12,TrialState.SUCCESSFUL|SHUT_DOWN,1.001831,0.5,0.4,2,12,34,1.0,0.0,38.991378,1.081218,12.774181,0.921367,38.991378,0.953431,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.5-v0.4-s3,13,13,TrialState.SUCCESSFUL|SHUT_DOWN,1.000858,0.5,0.4,3,12,34,1.0,0.0,37.819805,1.048731,13.94859,0.92373,37.819805,0.946078,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.5-v1.0-s1,8,8,TrialState.SUCCESSFUL|SHUT_DOWN,1.001365,0.5,1.0,1,12,34,1.0,0.0,37.258426,1.033164,17.03657,0.924862,37.258426,0.965686,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.5-v1.0-s2,9,9,TrialState.SUCCESSFUL|SHUT_DOWN,1.000921,0.5,1.0,2,12,34,1.0,0.0,38.991378,1.081218,15.724919,0.921367,38.991378,0.973039,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.5-v1.0-s3,10,10,TrialState.SUCCESSFUL|SHUT_DOWN,1.001312,0.5,1.0,3,12,34,1.0,0.0,37.819805,1.048731,16.513608,0.92373,37.819805,0.963235,0.0,8,15500.0,121.000106,7698.15
design-4234,c0.8-v0.4-s1,17,17,TrialState.SUCCESSFUL|SHUT_DOWN,1.002367,0.8,0.4,1,12,46,1.0,0.0,43.748737,1.213138,13.966393,0.911773,43.748737,0.961957,0.0,12,15500.0,121.000106,7698.15
design-4234,c0.8-v0.4-s2,18,18,TrialState.SUCCESSFUL|SHUT_DOWN,1.002389,0.8,0.4,2,12,44,0.833333,0.166667,56.179702,1.557845,14.134318,0.886704,56.179702,0.859848,0.0,12,15500.0,121.000106,7698.15
design-4234,c0.8-v0.4-s3,19,19,TrialState.SUCCESSFUL|SHUT_DOWN,1.001455,0.8,0.4,3,12,46,1.0,0.0,46.454828,1.288177,14.00499,0.906316,46.454828,0.956522,0.0,11,15500.0,121.000106,7698.15
design-4234,c0.8-v1.0-s1,14,14,TrialState.SUCCESSFUL|SHUT_DOWN,1.002795,0.8,1.0,1,12,46,1.0,0.0,43.748737,1.213138,17.297098,0.911773,43.748737,0.960145,0.0,11,15500.0,121.000106,7698.15
design-4234,c0.8-v1.0-s2,15,15,TrialState.SUCCESSFUL|SHUT_DOWN,1.001372,0.8,1.0,2,12,44,1.0,0.0,43.698485,1.211745,16.902448,0.911875,43.698485,0.975379,0.0,9,15500.0,121.000106,7698.15
design-4234,c0.8-v1.0-s3,16,16,TrialState.SUCCESSFUL|SHUT_DOWN,1.002365,0.8,1.0,3,12,46,1.0,0.0,46.213203,1.281477,16.858867,0.906803,46.213203,0.976449,0.0,11,15500.0,121.000106,7698.15
design-4370,c0.2-v0.4-s1,77,77,TrialState.SUCCESSFUL|SHUT_DOWN,1.001553,0.2,0.4,1,12,21,1.0,0.0,37.234019,1.032487,13.920978,0.924911,37.234019,0.944444,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.2-v0.4-s2,78,78,TrialState.SUCCESSFUL|SHUT_DOWN,1.00105,0.2,0.4,2,12,21,1.0,0.0,39.991378,1.108948,13.892746,0.919351,39.991378,0.984127,0.0,9,14500.0,121.000073,7036.65
design-4370,c0.2-v0.4-s3,79,79,TrialState.SUCCESSFUL|SHUT_DOWN,1.001178,0.2,0.4,3,12,21,1.0,0.0,37.234019,1.032487,13.906314,0.924911,37.234019,0.956349,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.2-v1.0-s1,74,74,TrialState.SUCCESSFUL|SHUT_DOWN,1.001403,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,17.255815,0.924911,37.234019,0.952381,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.2-v1.0-s2,75,75,TrialState.SUCCESSFUL|SHUT_DOWN,1.001019,0.2,1.0,2,12,21,1.0,0.0,39.637825,1.099144,17.022734,0.920064,39.637825,0.984127,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.2-v1.0-s3,76,76,TrialState.SUCCESSFUL|SHUT_DOWN,1.000808,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,16.953306,0.924911,37.234019,0.968254,0.0,7,14500.0,121.000073,7036.65
design-4370,c0.5-v0.4-s1,83,83,TrialState.SUCCESSFUL|SHUT_DOWN,1.003953,0.5,0.4,1,12,34,1.0,0.0,37.478096,1.039256,13.895804,0.924419,37.478096,0.968137,0.0,10,14500.0,121.000073,7036.65
design-4370,c0.5-v0.4-s2,84,84,TrialState.SUCCESSFUL|SHUT_DOWN,1.001575,0.5,0.4,2,12,34,1.0,0.0,38.991378,1.081218,12.772814,0.921367,38.991378,0.953431,0.0,9,14500.0,121.000073,7036.65
design-4370,c0.5-v0.4-s3,85,85,TrialState.SUCCESSFUL|SHUT_DOWN,1.001568,0.5,0.4,3,12,34,1.0,0.0,37.819805,1.048731,13.947638,0.92373,37.819805,0.946078,0.0,8,14500.0,121.000073,7036.65
