design,environment,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc
design-4370,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,17.293553,0.911773
design-4370,c0.8-v1.0-s2,1.0,0.0,44.052038,1.221549,16.989974,0.911162
design-4370,c0.8-v1.0-s3,1.0,0.0,46.213203,1.281477,16.870929,0.906803
design-512,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,13.328043,0.937943
design-512,c0.2-v0.4-s2,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516
design-512,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,12.919384,0.937943
design-512,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,13.328043,0.937943
design-512,c0.2-v1.0-s2,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516
design-512,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,12.919384,0.937943
design-512,c0.5-v0.4-s1,1.0,0.0,37.917436,1.051438,12.839922,0.936804
design-512,c0.5-v0.4-s2,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512
design-512,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,12.632832,0.936967
design-512,c0.5-v1.0-s1,1.0,0.0,37.917436,1.051438,12.839922,0.936804
design-512,c0.5-v1.0-s2,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512
design-512,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,12.632832,0.936967
design-512,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,13.171122,0.927085
design-512,c0.8-v0.4-s2,0.25,0.75,101.101398,2.803509,12.789347,0.831498
design-512,c0.8-v0.4-s3,1.0,0.0,47.179702,1.308278,12.812019,0.921367
design-512,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,13.171122,0.927085
design-512,c0.8-v1.0-s2,0.25,0.75,101.101398,2.803509,12.789347,0.831498
design-512,c0.8-v1.0-s3,1.0,0.0,47.179702,1.308278,12.812019,0.921367
design-549,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,16.852239,0.896986
design-549,c0.2-v0.4-s2,1.0,0.0,39.814601,1.104046,16.709,0.889846
design-549,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,16.618174,0.896986
design-549,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,18.776433,0.896986
design-549,c0.2-v1.0-s2,1.0,0.0,39.461048,1.094242,18.66738,0.890824
design-549,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,18.425722,0.896986
design-549,c0.5-v0.4-s1,1.0,0.0,37.234019,1.032487,16.925901,0.896986
design-549,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,15.791657,0.892124
design-549,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,16.720412,0.895365
design-549,c0.5-v1.0-s1,1.0,0.0,37.234019,1.032487,18.975381,0.896986
design-549,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,17.966134,0.892124
design-549,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,18.452596,0.895365
design-549,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,16.919802,0.878962
design-549,c0.8-v0.4-s2,0.833333,0.166667,56.297553,1.561113,16.804206,0.844243
design-549,c0.8-v0.4-s3,1.0,0.0,46.213203,1.281477,16.782707,0.872143
design-549,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,19.113823,0.878962
design-549,c0.8-v1.0-s2,1.0,0.0,43.344931,1.201941,18.834024,0.880079
design-549,c0.8-v1.0-s3,1.0,0.0,45.92031,1.273355,18.731664,0.872954
design-785,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,16.852239,0.910638
design-785,c0.2-v0.4-s2,1.0,0.0,39.814601,1.104046,16.709,0.904445
design-785,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,16.615669,0.910638
design-785,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,18.776433,0.910638
design-785,c0.2-v1.0-s2,1.0,0.0,39.637825,1.099144,18.703601,0.904869
design-785,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,18.425722,0.910638
design-785,c0.5-v0.4-s1,1.0,0.0,37.234019,1.032487,16.925901,0.910638
design-785,c0.5-v0.4-s2,1.0,0.0,38.991378,1.081218,15.791657,0.906421
design-785,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,16.722733,0.909232
design-785,c0.5-v1.0-s1,1.0,0.0,37.234019,1.032487,18.975381,0.910638
design-785,c0.5-v1.0-s2,1.0,0.0,38.991378,1.081218,17.966134,0.906421
design-785,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,18.454918,0.909232
design-785,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,16.914923,0.895003
design-785,c0.8-v0.4-s2,0.833333,0.166667,56.297553,1.561113,16.802344,0.864886
design-785,c0.8-v0.4-s3,1.0,0.0,46.213203,1.281477,16.779381,0.889088
design-785,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,19.111758,0.895003
design-785,c0.8-v1.0-s2,1.0,0.0,43.344931,1.201941,18.833138,0.895972
design-785,c0.8-v1.0-s3,1.0,0.0,45.92031,1.273355,18.730498,0.889791
frontier-1,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,11.645231,0.950355
frontier-1,c0.2-v0.4-s2,0.75,0.25,59.674498,1.654755,10.64778,0.920434
frontier-1,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,11.377771,0.950355
frontier-1,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,11.645231,0.950355
frontier-1,c0.2-v1.0-s2,0.75,0.25,59.674498,1.654755,10.64778,0.920434
frontier-1,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,11.377771,0.950355
frontier-1,c0.5-v0.4-s1,0.833333,0.166667,51.760582,1.435304,11.295351,0.930986
frontier-1,c0.5-v0.4-s2,0.75,0.25,59.219126,1.642127,10.286761,0.921041
frontier-1,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,11.202343,0.949574
frontier-1,c0.5-v1.0-s1,0.833333,0.166667,51.760582,1.435304,11.295351,0.930986
frontier-1,c0.5-v1.0-s2,0.75,0.25,59.219126,1.642127,10.286761,0.921041
frontier-1,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,11.202343,0.949574
frontier-1,c0.8-v0.4-s1,0.833333,0.166667,56.457281,1.565542,11.558613,0.924724
