obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.05,7.5,0.4,0.3,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.296376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.4,0.3,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.79471,2.424156,5.916089,0.296376,0.0,0.120884,1.0,0.189773,0.79471,1,0,1,0,0
0.05,7.5,0.4,0.3,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794606,2.424156,5.916089,0.296376,0.0,0.120884,1.0,0.189773,0.794606,1,0,1,0,0
0.05,7.5,0.5,0.4,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.396376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.5,0.4,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794713,2.424156,5.916089,0.396376,0.0,0.120884,1.0,0.189773,0.794713,1,0,1,0,0
0.05,7.5,0.5,0.4,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794635,2.424156,5.916089,0.396376,0.0,0.120884,1.0,0.189773,0.794635,1,0,1,0,0
0.05,7.5,0.6,0.5,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.496376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.6,0.5,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794715,2.424156,5.916089,0.496376,0.0,0.120884,1.0,0.189773,0.794715,1,0,1,0,0
0.05,7.5,0.6,0.5,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794653,2.424156,5.916089,0.496376,0.0,0.120884,1.0,0.189773,0.794653,1,0,1,0,0
0.05,7.5,0.7,0.6,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.596376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.7,0.6,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794716,2.424156,5.916089,0.596376,0.0,0.120884,1.0,0.189773,0.794716,1,0,1,0,0
