obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.1,22.5,0.7,0.6,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.373972,0.0,0.350799,0.980191,0.348858,0.630844,1,1,1,1,1
0.1,22.5,0.8,0.7,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.473972,0.0,0.350799,0.980191,0.348858,0.630844,1,1,1,1,1
0.1,22.5,0.9,0.8,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.573972,0.0,0.350799,0.980191,0.348858,0.630844,1,1,1,1,1
0.1,22.5,1.0,0.9,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.673972,0.0,0.350799,0.980191,0.348858,0.630844,1,1,1,1,1
0.1,22.5,0.6,0.5,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.273972,0.00318,0.350799,0.980191,0.349918,0.628838,1,1,1,1,1
0.1,22.5,0.5,0.4,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.173972,0.017957,0.350799,0.980191,0.354844,0.619516,1,1,1,1,1
0.1,22.5,0.4,0.3,0.0,0.329344,0.029382,0.066111,0.695775,18.805868,0.643593,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.365241,0.59984,1,1,1,1,1
0.15,17.5,0.6,0.5,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.351828,0.0,0.279733,0.994354,0.370644,0.527786,1,1,1,1,1
0.15,17.5,0.7,0.6,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.451828,0.0,0.279733,0.994354,0.370644,0.527786,1,1,1,1,1
0.15,17.5,0.8,0.7,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.551828,0.0,0.279733,0.994354,0.370644,0.527786,1,1,1,1,1
0.15,17.5,0.9,0.8,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.651828,0.0,0.279733,0.994354,0.370644,0.527786,1,1,1,1,1
0.15,17.5,1.0,0.9,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.751828,0.0,0.279733,0.994354,0.370644,0.527786,1,1,1,1,1
0.15,17.5,0.5,0.4,0.0,0.250696,0.044074,0.099166,0.8322,12.537246,0.530783,5.722859,13.937619,0.251828,0.000371,0.279733,0.994354,0.370768,0.52759,1,1,1,1,1
0.15,20.0,0.6,0.5,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.313519,0.0,0.315355,0.987697,0.382519,0.524253,1,1,1,1,1
0.15,20.0,0.7,0.6,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.413519,0.0,0.315355,0.987697,0.382519,0.524253,1,1,1,1,1
0.15,20.0,0.8,0.7,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.513519,0.0,0.315355,0.987697,0.382519,0.524253,1,1,1,1,1
0.15,20.0,0.9,0.8,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.613519,0.0,0.315355,0.987697,0.382519,0.524253,1,1,1,1,1
0.15,20.0,1.0,0.9,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.713519,0.0,0.315355,0.987697,0.382519,0.524253,1,1,1,1,1
0.15,20.0,0.5,0.4,0.0,0.289395,0.044074,0.099166,0.8322,12.537246,0.530783,6.570705,15.986012,0.213519,0.006655,0.315355,0.987697,0.384737,0.520763,1,1,1,1,1
0.15,22.5,0.7,0.6,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.373972,0.0,0.350799,0.980191,0.394333,0.520269,1,1,1,1,1
0.15,22.5,0.8,0.7,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.473972,0.0,0.350799,0.980191,0.394333,0.520269,1,1,1,1,1
0.15,22.5,0.9,0.8,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.573972,0.0,0.350799,0.980191,0.394333,0.520269,1,1,1,1,1
0.15,22.5,1.0,0.9,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.673972,0.0,0.350799,0.980191,0.394333,0.520269,1,1,1,1,1
0.15,22.5,0.6,0.5,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.273972,0.00318,0.350799,0.980191,0.395393,0.518614,1,1,1,1,1
0.15,22.5,0.5,0.4,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.173972,0.017957,0.350799,0.980191,0.400319,0.510926,1,1,1,1,1
0.15,22.5,0.4,0.3,0.0,0.329344,0.044074,0.099166,0.8322,12.537246,0.530783,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.410715,0.494699,1,1,1,1,1
0.2,22.5,0.7,0.6,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.373972,0.0,0.350799,0.980191,0.419415,0.43654,1,1,1,1,1
0.2,22.5,0.8,0.7,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.473972,0.0,0.350799,0.980191,0.419415,0.43654,1,1,1,1,1
0.2,22.5,0.9,0.8,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.573972,0.0,0.350799,0.980191,0.419415,0.43654,1,1,1,1,1
0.2,22.5,1.0,0.9,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.673972,0.0,0.350799,0.980191,0.419415,0.43654,1,1,1,1,1
0.2,22.5,0.6,0.5,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.273972,0.00318,0.350799,0.980191,0.420475,0.435152,1,1,1,1,1
0.2,22.5,0.5,0.4,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.173972,0.017957,0.350799,0.980191,0.425401,0.428701,1,1,1,1,1
0.2,22.5,0.4,0.3,0.0,0.329344,0.058765,0.132221,0.907447,9.402934,0.445362,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.435798,0.415085,1,1,1,1,1
0.25,22.5,0.5,0.4,0.0,0.329344,0.073456,0.165276,0.948951,7.522347,0.379725,7.431985,18.057406,0.173972,0.017957,0.350799,0.980191,0.439236,0.36552,1,1,1,1,1
0.25,22.5,0.4,0.3,0.0,0.329344,0.073456,0.165276,0.948951,7.522347,0.379725,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.449632,0.35391,1,1,1,1,1
0.3,22.5,0.4,0.3,0.0,0.329344,0.088147,0.198332,0.971843,6.268623,0.32854,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.457263,0.306205,1,1,1,1,1
0.35,22.5,0.4,0.3,0.0,0.329344,0.102839,0.231387,0.98447,5.373105,0.288033,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.461472,0.268452,1,1,1,1,1
0.4,22.5,0.4,0.3,0.0,0.329344,0.11753,0.264442,0.991434,4.701467,0.255514,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.463793,0.238144,1,1,1,1,1
0.45,22.5,0.4,0.3,0.0,0.329344,0.132221,0.297497,0.995275,4.179082,0.229043,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.465074,0.213473,1,1,1,1,1
0.5,22.5,0.4,0.3,0.0,0.329344,0.146912,0.330553,0.997394,3.761174,0.20721,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.46578,0.193123,1,1,1,1,1
0.55,22.5,0.4,0.3,0.0,0.329344,0.161603,0.363608,0.998563,3.419249,0.188976,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.46617,0.176129,1,1,1,1,1
0.6,22.5,0.4,0.3,0.0,0.329344,0.176295,0.396663,0.999207,3.134311,0.17357,7.431985,18.057406,0.073972,0.049147,0.350799,0.980191,0.466384,0.161771,1,1,1,1,1
