10000,33.75,80.000000925155,-512576.128795328
15000,78.732,100.000002158202,-884326.822298756
1000,4.5,30.0000000740124,-942
1500,4.5,50.0000000740124,-5887.5
3000,2332.8,10.0000639467136,-148.757061271387
1500,3499.2,3.0000479600352,-57356.5397688975
3000,3742.2,6.0001025811864,-98677.3806466914
11000,38.25,110.000000999167,-513047.128795328
11500,38.25,130.000000999167,-515519.878795328
13000,2366.55,90.0000648718686,-512650.507325964
11500,3532.95,83.0000488851902,-541254.398679777
13000,3775.95,86.0001035063414,-561914.819118674
16000,83.232,130.000002232214,-884797.822298756
16500,83.232,150.000002232214,-887270.572298756
18000,2411.532,110.000066104915,-884401.200829391
16500,3577.932,103.000050118237,-913005.092183204
18000,3820.932,106.000104739388,-933665.512622101
4000,2337.3,40.000064020726,-1016.37853063569
3500,22.5,100.000000222037,-8831.25
4500,2337.3,60.000064020726,-5961.87853063569
4500,7241.4,9.0001505412216,-106695.230092243
12500,42.75,160.00000107318,-515990.878795328
14000,2371.05,120.000064945881,-513121.507325964
12500,3537.45,113.000048959203,-541725.398679777
14000,3780.45,116.000103580354,-562385.819118674
13500,56.25,180.000001147192,-518463.628795328
14500,2371.05,140.000064945881,-515594.257325964
13000,3537.45,133.000048959203,-544198.148679777
14500,3780.45,136.000103580354,-564858.569118674
16000,6108.75,96.000167453055,-561989.197649309
14500,7275.15,89.0001514663766,-590593.089003122
17500,87.732,180.000002306226,-887741.572298756
19000,2416.032,140.000066178928,-884872.200829391
17500,3582.432,133.000050192249,-913476.092183204
19000,3825.432,136.0001048134,-934136.512622101
18500,101.232,200.000002380239,-890214.322298756
19500,2416.032,160.000066178928,-887344.950829391
18000,3582.432,153.000050192249,-915948.842183204
19500,3825.432,156.0001048134,-936609.262622101
21000,6153.732,116.000168686102,-933739.891152737
19500,7320.132,109.000152699423,-962343.78250655
6500,2355.3,110.000064168751,-8905.62853063569
14500,60.75,210.000001221205,-518934.628795328
14000,3541.95,163.000049033215,-544669.148679777
16500,10774.35,97.0001754463942,-590630.635216937
17000,11422.35,97.0002083078998,-590670.00771899
17500,9607.95,99.0002154130902,-590667.467533758
19500,105.732,230.000002454251,-890685.322298756
20500,2420.532,190.00006625294,-887815.950829391
19000,3586.932,183.000050266262,-916419.842183204
20500,3829.932,186.000104887413,-937080.262622101
22000,6158.232,146.000168760114,-934210.891152737
20500,7324.632,139.000152773436,-962814.78250655
21500,2434.032,210.000066326952,-890288.700829391
20000,3600.432,203.000050340274,-918892.592183204
21500,3843.432,206.000104961425,-939553.012622101
22500,6158.232,166.000168760114,-936683.641152737
21000,7324.632,159.000152773436,-965287.53250655
21500,10819.332,117.000176679441,-962381.328720364
22000,11467.332,117.000209540946,-962420.701222417
22500,9652.932,119.000216646137,-962418.161037186
21000,123.732,260.000002602276,-891156.322298756
22500,2438.532,240.000066400965,-890759.700829391
21000,3604.932,233.000050414286,-919363.592183204
22500,3847.932,236.000105035438,-940024.012622101
23500,6162.732,196.000168834126,-937154.641152737
22000,7329.132,189.000152847448,-965758.53250655
22500,10823.832,147.000176753453,-962852.328720364
23000,11471.832,147.000209614959,-962891.701222417
23500,9657.432,149.000216720149,-962889.161037186
24500,6176.232,216.000168908139,-939627.391152737
23000,7342.632,209.00015292146,-968231.28250655
23000,10823.832,167.000176753453,-965325.078720364
23500,11471.832,167.000209614959,-965364.451222417
24000,9657.432,169.000216720149,-965361.911037186
24000,14966.532,125.000233520964,-962458.247436232
24500,13152.132,127.000240626154,-962455.707251
25000,13800.132,127.00027348766,-962495.079753053
24000,2456.532,270.00006654899,-891230.700829391
22500,3622.932,263.000050562311,-919834.592183204
24000,3865.932,266.000105183462,-940495.012622101
25500,6180.732,246.000168982151,-940098.391152737
24000,7347.132,239.000152995473,-968702.28250655
24000,10828.332,197.000176827466,-965796.078720364
24500,11476.332,197.000209688971,-965835.451222417
25000,9661.932,199.000216794162,-965832.911037186
25000,14971.032,155.000233594976,-962929.247436232
25500,13156.632,157.000240700167,-962926.707251
26000,13804.632,157.000273561672,-962966.079753053
25000,10841.832,217.000176901478,-968268.828720364
25500,11489.832,217.000209762984,-968308.201222417
26000,9675.432,219.000216868174,-968305.661037186
25500,14971.032,175.000233594976,-965401.997436232
26000,13156.632,177.000240700167,-965399.457251
26500,13804.632,177.000273561672,-965438.829753053
27000,17299.332,135.000297467678,-962532.625966868
