design,environment,trials,failures,failure_rate,clopper_pearson_lo,clopper_pearson_hi,clopper_pearson_upper,wilson_lo,wilson_hi,trials_for_target,rho_n,rho_mean,rho_min,rho_violated,rho_quantile,rho_quantile_dkw
cvar0.1,all,60,33,0.55,0.41611914563321595,0.6787784765366434,0.6601574634860898,0.4249193588533434,0.6690634559324476,877,60,0.454125,0.1475,0.0,0.172375,-inf
cvar0.5,all,60,32,0.5333333333333333,0.39996490258430256,0.6633008637495479,0.6444164115164481,0.4089342702715789,0.6537209395856151,855,60,0.440125,0.1025,0.0,0.16237500000000002,-inf
cvar0.9,all,60,33,0.55,0.41611914563321595,0.6787784765366434,0.6601574634860898,0.4249193588533434,0.6690634559324476,877,60,0.3783333333333333,0.1325,0.0,0.157,-inf
neutral,all,60,34,0.5666666666666667,0.4324096535546156,0.6941185731578272,0.675782032488717,0.4410343877612556,0.6842760319531324,900,60,0.46116666666666656,0.1575,0.0,0.18675,-inf
rrtstar,all,60,37,0.6166666666666667,0.48211495143116145,0.7392929419840009,0.7219390419099441,0.49017595824099924,0.7291172762591798,968,60,0.5438333333333334,0.235,0.0,0.235,-inf
