episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
30.0000,0.0000,5.0000,1.2500,1.2500,9.9613,9.4629,4.0963,11.5794,5.6901,9.5451,4.1302,11.4793,5.6542
31.0000,0.0000,1.0000,1.2500,1.2500,6.8347,2.8670,6.5053,4.2746,8.8519,2.9515,6.5366,4.2861,8.7816
31.0000,0.0000,6.0000,1.2500,1.2500,7.2140,3.8359,6.4916,6.6813,8.0040,3.9150,6.5133,6.6027,7.9292
31.0000,0.0000,7.0000,1.2500,1.2500,9.6207,4.0657,9.2686,5.3396,11.1911,3.9717,9.3506,5.1788,11.1273
32.0000,0.0000,1.0000,1.2500,1.2500,4.7399,3.1185,3.8205,4.4127,6.7140,3.0301,4.0577,4.2736,6.7907
33.0000,0.0000,3.0000,1.2500,1.2500,6.5038,5.7328,2.9482,8.7942,4.5067,5.9037,2.8859,8.8601,4.4093
33.0000,0.0000,7.0000,1.2500,1.2500,6.2201,3.7235,5.4423,6.3565,6.9218,3.8499,5.2249,6.3209,6.6412
34.0000,0.0000,5.0000,1.2500,1.2500,9.7013,7.4686,6.0870,9.9408,8.8295,7.4578,6.2155,9.8301,8.8795
35.0000,0.0000,1.0000,1.2500,1.2500,5.4431,4.2697,3.8504,5.8139,6.4597,4.1941,3.7711,5.6698,6.2806
36.0000,0.0000,5.0000,1.2500,1.2500,3.6244,3.0533,1.5352,5.7551,4.5355,3.1695,1.6427,5.7157,4.3861
38.0000,0.0000,1.0000,1.2500,1.2500,8.6645,6.7720,5.8234,8.5071,8.3807,6.7716,6.0266,8.4206,8.4820
38.0000,0.0000,2.0000,1.2500,1.2500,8.2182,6.9152,4.7096,8.7317,7.6552,7.2720,5.2944,8.2519,7.0883
38.0000,0.0000,3.0000,1.2500,1.2500,7.9828,5.1779,5.8233,7.6801,8.8263,5.0829,5.7899,7.4658,8.6612
38.0000,0.0000,5.0000,1.2500,1.2500,9.0143,8.9636,2.8450,10.8298,4.7506,9.3005,3.6149,10.5035,4.3682
40.0000,0.0000,2.0000,1.2500,1.2500,8.9081,5.2085,7.1631,7.2529,10.1081,5.7391,7.8955,6.8219,9.0255
42.0000,0.0000,2.0000,1.2500,1.2500,7.4715,6.5722,4.0985,7.9406,7.2890,6.7505,4.2003,8.1039,7.1026
42.0000,0.0000,4.0000,1.2500,1.2500,9.8395,3.2503,9.7608,6.4408,11.0572,4.0777,10.1779,5.6897,10.7620
43.0000,0.0000,5.0000,1.2500,1.2500,7.7104,7.2267,3.2579,9.1398,5.9889,7.5796,3.8386,8.6009,5.3528
44.0000,0.0000,0.0000,1.2500,1.2500,5.8272,5.8190,1.6129,7.7433,4.5547,6.4479,2.2637,7.3000,3.7917
44.0000,0.0000,4.0000,1.2500,1.2500,5.9159,4.8924,4.0236,6.5981,6.1679,4.9008,4.1450,6.5663,6.2017
45.0000,0.0000,5.0000,1.2500,1.2500,3.8509,2.3870,3.3657,4.3795,5.5464,2.3559,3.3793,4.2310,5.4773
45.0000,0.0000,7.0000,1.2500,1.2500,9.1700,4.0589,8.6278,6.2360,10.4734,4.0032,8.8026,6.1341,10.5559
47.0000,0.0000,2.0000,1.2500,1.2500,8.9970,1.8619,8.9387,4.4267,11.1521,2.5461,9.6509,4.0394,10.5380
47.0000,0.0000,5.0000,1.2500,1.2500,5.3489,4.9615,2.8224,6.8995,4.8557,5.3492,3.2137,6.2434,4.0367
48.0000,0.0000,2.0000,1.2500,1.2500,6.2967,5.5944,2.4727,8.7185,4.3920,5.4676,2.4779,8.4972,4.3132
48.0000,0.0000,3.0000,1.2500,1.2500,4.4777,3.3463,2.5539,6.2408,5.4209,3.4309,2.7078,6.2261,5.4397
48.0000,0.0000,5.0000,1.2500,1.2500,6.2824,3.4626,5.2390,5.3057,8.1506,3.4307,5.4185,5.1932,8.0655
50.0000,0.0000,4.0000,1.2500,1.2500,6.3043,3.4851,5.7972,5.5202,7.5037,3.8217,5.8421,5.7076,7.4451
51.0000,0.0000,0.0000,1.2500,1.2500,9.4877,3.2253,9.6769,4.7435,10.9935,3.4381,9.6083,4.8787,10.8737
51.0000,0.0000,2.0000,1.2500,1.2500,7.1152,4.3446,5.8525,6.6792,8.0426,4.4721,6.0390,6.6586,8.0879
52.0000,0.0000,1.0000,1.2500,1.2500,5.3709,4.0854,3.8931,5.4512,6.7231,4.3305,4.8563,4.9812,5.8001
52.0000,0.0000,6.0000,1.2500,1.2500,5.1628,4.7912,2.8115,6.3162,5.3921,4.9320,2.7866,6.3447,5.2378
53.0000,0.0000,0.0000,1.2500,1.2500,8.4550,7.8137,3.1791,10.6181,4.9891,7.8471,3.0913,10.4686,4.7846
53.0000,0.0000,2.0000,1.2500,1.2500,6.9386,2.5965,6.4348,5.5210,8.7547,2.5731,6.7046,5.3684,8.9017
53.0000,0.0000,4.0000,1.2500,1.2500,5.7732,3.8245,4.6114,6.6384,6.2500,3.9324,4.5292,6.6514,6.0785
53.0000,0.0000,5.0000,1.2500,1.2500,6.7809,4.4521,4.5935,7.3621,7.7638,4.3305,4.5284,7.0747,7.4779
54.0000,0.0000,4.0000,1.2500,1.2500,2.5523,2.4599,2.1419,3.7488,3.8656,2.3442,2.2506,3.5741,3.8165
55.0000,0.0000,0.0000,1.2500,1.2500,5.2620,3.3565,4.4918,6.1170,5.8900,3.3412,4.5404,6.0107,5.8406
55.0000,0.0000,4.0000,1.2500,1.2500,3.3714,1.8371,2.8137,4.3438,5.3357,1.9211,2.8307,4.3499,5.2509
56.0000,0.0000,0.0000,1.2500,1.2500,9.7117,7.5055,6.5959,8.9530,9.4106,7.6185,6.7270,8.9800,9.4280
56.0000,0.0000,3.0000,1.2500,1.2500,5.7105,4.5250,4.0924,6.0834,6.4510,4.9461,4.7346,5.7507,5.7255
