design,environment,trials,failures,failure_rate,clopper_pearson_lo,clopper_pearson_hi,clopper_pearson_upper,wilson_lo,wilson_hi,trials_for_target,rho_n,rho_mean,rho_min,rho_violated,rho_quantile,rho_quantile_dkw
degraded,all,90,83,0.9222222222222223,0.8462938919180569,0.9681574368786805,0.9629282898896221,0.8480613981740798,0.9618151846827111,1985,90,-1.1116260501417796,-1.7731977491546136,1.0,-1.553049428425216,-inf
nominal,all,90,68,0.7555555555555555,0.653623273417598,0.8400307069569795,0.8283369417781336,0.6575162887069911,0.8326721693379086,1657,90,-0.7542423383449408,-1.359408162933029,1.0,-1.1826708949092262,-inf
sharp,all,90,51,0.5666666666666667,0.4580057492220273,0.6708157151785421,0.6554497727749431,0.46364097523724423,0.6642342746875122,1282,90,-0.5532753088408622,-1.078226577398528,1.0,-0.9994425808264673,-inf
